Процессы (в консоль ограничено, в файл пишется полный список):
83088    kworker/u65:0-ttm            RealTime   2025-12-19 17:07:48 Running/R… 0,04     0         
37292    kworker/u65:1-ttm            RealTime   2025-12-19 15:01:26 Running/R… 0,36     0         
1646     kworker/u65:10-hci0          RealTime   2025-12-19 14:41:20 Running/R… 0,29     0         
83364    kworker/u65:11-ttm           RealTime   2025-12-19 17:09:56 Running/R… 0,01     0         
27000    kworker/u65:12-ttm           RealTime   2025-12-19 14:50:54 Running/R… 0,43     0         
9373     kworker/u65:13-ttm           RealTime   2025-12-19 14:42:31 Running/R… 0,46     0         
83634    kworker/u65:14-ttm           RealTime   2025-12-19 17:11:20 Running/R… 0,05     0         
84850    kworker/u65:15-ttm           RealTime   2025-12-19 17:14:05 Running/R… 0,04     0         
84851    kworker/u65:16               RealTime   2025-12-19 17:14:05 Running/R… 0,00     0         
839      kworker/u65:2-ttm            RealTime   2025-12-19 14:41:15 Running/R… 0,32     0         
83253    kworker/u65:3-ttm            RealTime   2025-12-19 17:09:09 Running/R… 0,04     0         
83360    kworker/u65:4-hci0           RealTime   2025-12-19 17:09:56 Running/R… 0,08     0         
37293    kworker/u65:5-ttm            RealTime   2025-12-19 15:01:26 Running/R… 0,25     0         
83361    kworker/u65:6-ttm            RealTime   2025-12-19 17:09:56 Running/R… 0,00     0         
1643     kworker/u65:7-ttm            RealTime   2025-12-19 14:41:20 Running/R… 0,43     0         
83362    kworker/u65:8-ttm            RealTime   2025-12-19 17:09:56 Running/R… 0,01     0         
83363    kworker/u65:9-ttm            RealTime   2025-12-19 17:09:56 Running/R… 0,00     0         
86593    L14                          Normal     2025-12-19 17:17:37 Running/R… 0,33     56        
73767    localsearch-3                Idle       2025-12-19 16:44:03 Running/R… 0,76     33        
23       migration/0                  Normal     2025-12-19 14:41:08 Running/R… 2,55     0         
70       migration/1                  Normal     2025-12-19 14:41:08 Running/R… 0,84     0         
